,num_layers,hidden1,hidden2,dropout,random_seed,epochs_trained,val_error
0,1.0,5.0,5.0,0.3,0.0,54.0,0.5313922514518102
1,1.0,5.0,5.0,0.3,10.0,76.0,0.5052628368139267
2,1.0,5.0,5.0,0.3,100.0,93.0,0.47565096616744995
3,1.0,5.0,5.0,0.3,1000.0,93.0,0.573331892490387
4,1.0,5.0,5.0,0.3,10000.0,91.0,0.4996804744005203
5,1.0,5.0,5.0,0.5,0.0,89.0,0.5529809296131134
6,1.0,5.0,5.0,0.5,10.0,76.0,0.5496041675408682
7,1.0,5.0,5.0,0.5,100.0,78.0,0.49388861656188965
8,1.0,5.0,5.0,0.5,1000.0,93.0,0.616195023059845
9,1.0,5.0,5.0,0.5,10000.0,78.0,0.5193529079357783
10,1.0,5.0,5.0,0.7,0.0,83.0,0.6180423100789388
11,1.0,5.0,5.0,0.7,10.0,144.0,0.6112382809321085
12,1.0,5.0,5.0,0.7,100.0,78.0,0.5569977760314941
13,1.0,5.0,5.0,0.7,1000.0,84.0,0.6802000304063162
14,1.0,5.0,5.0,0.7,10000.0,66.0,0.6145712733268738
15,1.0,5.0,10.0,0.3,0.0,52.0,0.5208143393198649
16,1.0,5.0,10.0,0.3,10.0,80.0,0.4859002431233724
17,1.0,5.0,10.0,0.3,100.0,64.0,0.5164545426766077
18,1.0,5.0,10.0,0.3,1000.0,42.0,0.5015380879243215
19,1.0,5.0,10.0,0.3,10000.0,82.0,0.5084574520587921
20,1.0,5.0,10.0,0.5,0.0,96.0,0.5494593679904938
21,1.0,5.0,10.0,0.5,10.0,103.0,0.49113989373048145
22,1.0,5.0,10.0,0.5,100.0,108.0,0.567704568306605
23,1.0,5.0,10.0,0.5,1000.0,55.0,0.5015354007482529
24,1.0,5.0,10.0,0.5,10000.0,114.0,0.5189375380674998
25,1.0,5.0,10.0,0.7,0.0,168.0,0.5625445147355398
26,1.0,5.0,10.0,0.7,10.0,108.0,0.5379879474639893
27,1.0,5.0,10.0,0.7,100.0,175.0,0.6181487540404002
28,1.0,5.0,10.0,0.7,1000.0,60.0,0.5491806268692017
29,1.0,5.0,10.0,0.7,10000.0,157.0,0.5593243539333344
30,1.0,5.0,15.0,0.3,0.0,96.0,0.5317285557587942
31,1.0,5.0,15.0,0.3,10.0,77.0,0.5005137026309967
32,1.0,5.0,15.0,0.3,100.0,62.0,0.48701559007167816
33,1.0,5.0,15.0,0.3,1000.0,36.0,0.5066079447666804
34,1.0,5.0,15.0,0.3,10000.0,38.0,0.5303223878145218
35,1.0,5.0,15.0,0.5,0.0,86.0,0.593601405620575
