,num_layers,hidden1,hidden2,dropout,random_seed,epochs_trained,val_error
0,1.0,5.0,5.0,0.3,0.0,127.0,0.5884058674176534
1,1.0,5.0,5.0,0.3,10.0,58.0,0.6266378462314606
2,1.0,5.0,5.0,0.3,100.0,72.0,0.5855782429377238
3,1.0,5.0,5.0,0.3,1000.0,84.0,0.7221179107824961
4,1.0,5.0,5.0,0.3,10000.0,57.0,0.6027234494686127
5,1.0,5.0,5.0,0.5,0.0,86.0,0.6978276371955872
6,1.0,5.0,5.0,0.5,10.0,53.0,0.7346478899319967
7,1.0,5.0,5.0,0.5,100.0,69.0,0.7264726758003235
8,1.0,5.0,5.0,0.5,1000.0,85.0,0.7859804828961691
9,1.0,5.0,5.0,0.5,10000.0,54.0,0.7597399353981018
10,1.0,5.0,5.0,0.7,0.0,66.0,0.8412267963091532
11,1.0,5.0,5.0,0.7,10.0,74.0,0.8404595752557119
12,1.0,5.0,5.0,0.7,100.0,88.0,0.824033518632253
13,1.0,5.0,5.0,0.7,1000.0,190.0,0.8455736339092255
14,1.0,5.0,5.0,0.7,10000.0,150.0,0.7520977159341177
15,1.0,5.0,10.0,0.3,0.0,85.0,0.6267920831839243
16,1.0,5.0,10.0,0.3,10.0,56.0,0.5722165902455648
17,1.0,5.0,10.0,0.3,100.0,53.0,0.7025527358055115
18,1.0,5.0,10.0,0.3,1000.0,65.0,0.6610304613908132
19,1.0,5.0,10.0,0.3,10000.0,42.0,0.6606297791004181
20,1.0,5.0,10.0,0.5,0.0,75.0,0.7092230916023254
21,1.0,5.0,10.0,0.5,10.0,53.0,0.6540176669756571
22,1.0,5.0,10.0,0.5,100.0,65.0,0.7080217202504476
23,1.0,5.0,10.0,0.5,1000.0,144.0,0.6054513156414032
24,1.0,5.0,10.0,0.5,10000.0,54.0,0.6883154809474945
25,1.0,5.0,10.0,0.7,0.0,70.0,0.8013623754183451
26,1.0,5.0,10.0,0.7,10.0,88.0,0.7686724861462911
27,1.0,5.0,10.0,0.7,100.0,93.0,0.8550990025202433
