,train,val,test
1848,0.35121861878634486,0.2668740272672604,0.14902422113396496
882,0.8388013471052175,0.7699978625770184,0.43955074582751685
895,0.9657960465648906,0.6908766246437783,0.9685993170960793
798,0.930314239094265,0.9432192207492882,0.4470882088342225
893,0.7390052858552645,0.5936663930788413,0.2919891402416134
1703,0.6065508438061281,0.3762960241844219,-0.06894208962710913
1883,0.9556419048567663,0.9746883495236498,0.9114282068061266
1761,0.7043170678949802,0.5805361601202927,0.6837717043848286
536,0.5545122863193244,0.6522096495429262,0.6471683044752745
920,0.970299189157676,0.9572220435739555,0.7718899881409875
1683,0.7982337248633071,0.6384283329667704,0.5900834533208744
574,0.7595466305138443,0.6074158338728161,0.6884296095840694
1752,0.9170676137672674,0.8685577802333236,0.8933297092750836
1655,0.7331965493533894,0.5770922154145584,0.6110591688412363
399,0.911442291125565,0.9235179442461806,0.8189990798690432
753,0.6042163424820741,0.40522819267013654,0.26013448713162746
292,0.5298914837088545,0.6190197644085833,0.6870069538093215
384,0.5902212954945465,0.5364773863625691,0.6686265694243112
509,0.7241275128287918,0.6872874330187719,0.6570012833444074
1587,0.7011865722626243,0.5352376051792116,0.37745902210653937
870,0.4046132677163131,0.3927728786930266,0.6097659414034045
373,0.8202127582610463,0.8145743255259281,0.7746864001110544
784,0.9390005214213124,0.8226564584369983,0.5896491778704955
511,0.9101764872540532,0.8811720546296566,0.9120541402269562
449,0.7677828720491469,0.8527508599988989,0.7961165540804442
7318,0.9663472367457536,0.9615638018599333,0.9359707450865434
386,0.8071610029940686,0.8199765375149083,0.2244476575858152
1869,0.4618326705942286,0.5799219741197892,0.14725269680360686
1739,0.8997180899786522,0.7923177249347573,0.7531677815031813
355,0.8499317824412038,0.8431085751149584,0.7901361780997289
1776,0.8840445513767254,0.7409476893303962,0.7022612766093297
204,0.9189820627335215,0.8752993451110911,0.4897114987672775
378,0.44310493701991527,0.43446736067602565,0.32239306220413144
1125,0.6151037232116889,0.37131116518351837,0.6069078023672041
300,0.64449448759872,-0.03526955818119326,0.35689050340184436
415,0.9521830613642839,0.975382283263206,0.8578424781132977
780,0.8591100583416592,0.6993550768616856,0.2695248794962879
57,0.5397007304060093,0.5391868763627681,0.6343680285585498
1753,0.884757058039956,0.8339077698468842,0.8824613895530354
