,individual,pooled,finetuned_pooled_5yr,finetuned_pooled_10yr,finetuned_pooled_15yr,finetuned_pooled_20yr,finetuned_pooled_25yr,finetuned_pooled_30yr
307,0.0493579317668826,0.17243390919364587,-0.16222645691397508,0.04025318200450867,0.11186127623644393,-0.004021137296709609,0.14883433365637067,0.11120158648372791
1067,0.4667723852101028,0.20239589521296664,0.3170274055920105,0.44330232162835304,0.43805083892174246,0.487270812277409,0.45910726365837573,0.4790275692895414
938,0.249013751172778,0.2722245841831491,0.26086760296325406,0.23353005561553097,0.27488137706569116,0.39850205023825624,0.402308809211979,0.36419915986225715
601,-0.0588831217863754,-0.34179878372744343,-0.06363184234422015,-0.1576173441418145,-0.1417082331490196,-0.13212707277508629,-0.08577628617954525,0.02316035109357839
293,0.6961952597131931,0.5997606566965328,0.6728211606819057,0.6412829412296902,0.6781697312496956,0.7141124197132713,0.702661147029018,0.7372066206030421
1112,0.593697061981441,0.3488894194647585,0.37613861150263794,0.5428029564168493,0.5329496219632986,0.5001160849686174,0.5319238526424371,0.5745915282514438
1683,0.5772768330965732,0.3634809626437471,0.3726167343161785,0.40266416974399255,0.4240024241444247,0.5030652664493631,0.5614594994300184,0.5694426221117093
1654,0.7534349091707085,0.32196822513598156,0.4235043958624697,0.46557797521865685,0.6305855026578644,0.5935824788526582,0.6814701517684538,0.7146604911698413
1777,0.771762426217926,0.5932835405450398,0.7410450054685214,0.7108813024654062,0.7573684876600408,0.7618430464904262,0.7678907259324802,0.7746701200756594
893,0.2705668763356876,0.12981140849162365,0.06044926365235048,0.17209562973180292,0.34513156545184676,0.27037456747344446,0.2876894797820697,0.2341750881571394
451,0.3978103274333694,0.4582254533423956,0.39817150709105,0.4467125800556301,0.44215908770125456,0.33412610342344573,0.40712899857083307,0.4230576535631343
60,0.7601772035749408,0.6887310851675026,0.7228706389592622,0.7164327154481204,0.7108009105267055,0.7175740693532585,0.7605224906062549,0.7684267092528305
1714,0.5788594136096957,0.5235004504020586,0.4831405406986813,0.5894935480076698,0.6299719846413508,0.62472833243698,0.6283939402939998,0.6291017160209469
393,0.7266305422302153,0.6478349902559541,0.6580312423036512,0.7179830890860521,0.6969583350315505,0.6958667239544332,0.7532155721004429,0.7601252236643893
529,0.6030927169517439,0.4959611064156876,0.6259908410799531,0.6362837367441947,0.6282983430651736,0.6237363381751677,0.6469650252754349,0.6380187206496133
1249,-41.94088083654636,-23.361627757990604,-5.232212963341947,-4.651591699595176,-5.20242169875205,-2.3326916405849345,-13.305797953255404,-9.902665424664441
399,0.7688806822063721,0.6236321713152871,0.7193230710325909,0.6925255839452316,0.7723009705486232,0.7275749138058536,0.7756120466488292,0.7603056920840925
1042,0.0888519074884082,0.3344933186642275,0.0899412199279449,0.0810786475185542,0.16118239300839798,0.25986118301134287,0.2721982124723007,0.2825340969389858
884,0.7035630830830514,0.6622107998835336,0.6142521660298117,0.6884861526030186,0.7065030950696924,0.6587812796027557,0.6850319753719174,0.7039647765447853
837,0.1413624775223876,0.05954195509355409,0.13272963365676504,0.14131323765560855,0.1379374905349925,0.13278670591034236,0.14276428444561673,0.1680902185427583
373,0.7832889611382177,0.7502938984353991,0.7607752250021792,0.7641925549643701,0.8065158741536874,0.8004784302761556,0.8008866676415463,0.7971971770701636
362,0.688107240162472,0.3277772255356941,0.36849521129531737,0.683311762592064,0.7767349826569662,0.7616765641824526,0.787225422668328,0.7848542744920386
416,0.6650521556511166,0.5812908006529391,0.5728261376561166,0.6627648543969316,0.6117728775492419,0.6276924143593136,0.6689182469570878,0.6814078368960819
1587,0.3696030221615008,0.3751730881260342,0.4020673924297399,0.4399585743094899,0.46198299964001854,0.2399964842932898,0.2876537114940476,0.34768422756292006
1026,0.5653246398100418,0.4576302558208921,0.6283534798548351,0.6244206409350466,0.5649195991409035,0.5742554181694783,0.6254929288513815,0.6249685761382843
1741,0.4802932084677255,0.380519331235705,0.281628672500985,0.43464049145525474,0.47215340672673367,0.4836263330488958,0.49329355877257486,0.5174402998803815
1864,-0.0546714196574367,-0.3069922455868641,-0.022288363874298334,0.025338010189780547,0.05950101338683833,-0.001709544843520483,0.05600525094694131,0.0960085481702263
1753,0.8856361628371867,0.8905429247368097,0.8894216720867819,0.8811275976611779,0.8898355198385692,0.892966339172423,0.894081181748725,0.8942232656796953
297,0.1510033156300676,0.026530884222080275,-0.44812396417839895,-0.327257471707616,-0.34335055588181973,-0.059711515550379124,0.03273879879500563,0.06485003151229451
1703,0.0315898089754422,-0.13522781702454734,-0.3074078536804459,0.11950005518422535,0.10320322346408439,0.04393883218966099,0.1071409943106002,0.009160052622016246
488,0.206616339966374,0.17210337894097472,0.13067387958267462,-0.35221977198765475,0.22073255296403438,0.18314902100311492,0.33039280764489853,0.4512721072325362
541,0.2276111152779105,0.34557186493214564,0.13605699338135568,0.14635809599954708,0.16493311128992227,0.1374257431978041,0.14883682436963608,0.11002362967663903
63,0.7579146248652683,0.23052764719495955,0.4666402706097964,0.5078807106993164,0.7745360417912259,0.7450096982272011,0.7724142122248153,0.7575339440725457
574,0.6879569665867192,0.6730522551540601,0.6546344881428863,0.6589125027276084,0.670037774002156,0.7108261942922383,0.7400062311305847,0.751622456291856
292,0.6452407904945963,0.5718503720701924,0.6485847437107566,0.6562472062674876,0.6145619630995651,0.6404207877113528,0.6533607868944598,0.6347068257783912
