,baseline_5yr,baseline_10yr,baseline_15yr,baseline_20yr,baseline_25yr,baseline_30yr
307,-0.21585414701906558,-0.11343802313997964,-0.02592207694403892,-0.007184307858991268,0.039233274469476664,0.022813627805007952
1067,0.12056416649851986,0.29145293498165137,0.17978967008852476,0.18480486125020223,0.19056706991552586,0.19647155465994826
938,0.20505417627180222,0.19657331897180774,0.2884214172926174,0.29262508226728845,0.29229632311333265,0.2569229103780729
601,-0.32465359344704336,-0.3038678583232479,-0.09172910842416981,-0.16881083095555893,-0.13429462375302625,-0.10120398869471958
293,0.34828217124657,0.624397179598953,0.5593528383990791,0.6411376151841571,0.6949679444284442,0.6116016076258846
1112,0.03842883626824256,0.4319354574607138,0.5380833236382748,0.5234882563585765,0.5568110501894135,0.5789299851678689
1683,0.5255077774491284,0.4263400053289573,0.4236115808685753,0.4712231192617726,0.5262085706888279,0.5986286854884492
1654,0.45795130234458226,0.4489401738606805,0.6223903158474935,0.6564176196555924,0.7208561163874991,0.7445288315813818
1777,0.6673859470776555,0.7428041030725689,0.7745589357566736,0.7749456445821286,0.7601261636830703,0.7782346970055689
893,0.0032252408732528215,0.18900956738683872,0.282968564588191,0.2876153518929677,0.31784587781144436,0.16139821799064202
451,0.05939716254912364,0.33616619394156577,0.3517537462772803,0.31730574723104343,0.29562893607258,0.3787026802281517
60,0.6741103116012618,0.6656650998960488,0.7191656265128568,0.7218550406282527,0.7507721780037437,0.7451031539985381
1714,0.43247250751072275,0.5723019995937686,0.5768834364530422,0.5589582509409405,0.6431699924390344,0.6029362080311023
393,0.41677724204523914,0.46979655240940876,0.6357467872776085,0.6473146090446664,0.6895169597079991,0.7065080753881656
529,0.6240827705391182,0.6130234494317566,0.6012835913599356,0.6266569640641935,0.6300786092171791,0.6305987138230899
1249,-9.194654122997726,-5.644797385648048,-9.876698137072497,-2.0654089976049064,-21.734430199092603,-28.791814092816928
399,0.6351974346872284,0.7871892882125358,0.7286880134031171,0.7848224823035077,0.7675539329554792,0.7604026696511262
1042,0.027987265935297434,0.11196021926947963,0.026020065693356687,0.13049041065534495,0.17076116497989824,0.17273824108800884
884,0.6270503692764327,0.6639485434351773,0.6638295523251452,0.6677927897246199,0.7002968182868203,0.6389930305654936
837,0.08900619259953324,0.13049068891431337,0.11083447025607995,0.13151173520265436,0.14758254457409836,0.12841614112162614
373,0.7603758709045395,0.7823143795353301,0.7904855931856669,0.7880524719475714,0.7787379881194442,0.7849197820815355
362,0.13264805044768724,0.18630497358679965,0.7151917198799724,0.22335349264884574,0.6861799631981973,0.7395071510951581
416,0.5281422228801019,0.5888046987095243,0.4454183379703994,0.6391805697340764,0.6182109289713809,0.6446993210304428
1587,0.321872177727478,0.2462324644187861,0.3964984067834879,0.32500742045853126,0.35330267583463204,0.3631690361776875
1026,0.5202160651103441,0.5026276684709139,0.5131592381525345,0.5354091689702566,0.5394316657545594,0.5600249073095892
1741,-0.02843485522627498,0.3866244149109789,0.42587401499263333,0.4509097690717907,0.5243149489045995,0.5150751102065885
1864,-0.3314897551801941,-0.16060469889159923,0.04927986636384207,-0.04694839247527227,-0.033430636793686075,0.08310113515877493
1753,0.8819480318155232,0.8804503632172501,0.8830448336220325,0.8879915263117513,0.8890737404516988,0.8901289158113607
297,-0.5154300440136557,-0.2874226101358095,-0.2582784348242442,-0.10492112326086112,0.034800969288836914,0.005241022665642192
1703,0.005225120779400294,0.08497823680688177,-0.0346360687541134,0.045493465945362854,0.058236542204844643,0.057043416178485185
488,-0.030384633297214414,-0.04242650559392991,0.11170212148304326,0.1829464794129858,0.17511524240238108,0.1773291850911527
541,-0.01445689071221623,0.13996785984619087,0.15872742367617887,0.08284536286221789,0.23235363078376936,0.16613510211358073
63,0.5735530536363631,0.5914872304054775,0.6737792470532475,0.759651630874965,0.7503339440750756,0.7194250095038792
574,0.6459291559339482,0.6300498329856152,0.6709247692644869,0.713638620918454,0.6886271350649624,0.6952228859440834
292,0.4985478355633264,0.5832418440102822,0.5029395780104022,0.633997666685775,0.5857342784783797,0.6694117174165884
