,mean_inflow,med_inflow,max_inflow,std_inflow,pk_vol_inflow,mean_outflow,med_outflow,max_outflow,std_outflow,pk_vol_outflow,max_storage,train,val,test
1864,33.943474,16.395,1515.062,65.81636,521457280.0,28.117973,25.485,153.477,26.537556,202163220.0,948.291,0.0990029650828396,-0.1221866046870607,-0.0546714196574367
1869,59.62905,15.291,3808.213,152.30571,1164558700.0,51.418354,42.475,325.643,50.054592,247715710.0,2205.583,0.3551543089563935,0.3987566755171753,0.1997550388907369
1883,24.062092,16.764,1244.269,34.45998,220622080.0,19.050755,11.723,287.132,15.01168,195581140.0,145.214,0.9560384532145316,0.9688396308003452,0.9097315035709302
204,42.57857,39.474,224.625,35.414288,319678200.0,22.989107,10.647,193.687,28.403963,346176670.0,82.396,0.9135571994696724,0.8634777349116775,0.4884196605420295
292,5.45504,2.698,102.419,6.972271,81096730.0,5.439257,0.957,52.282,6.954586,29579590.0,84.334,0.5327555835722171,0.602915442118579,0.6452407904945963
293,9.66981,6.081,352.802,13.471585,72452770.0,9.563818,2.1595001,99.444,11.473305,84758140.0,160.513,0.7001067472568454,0.5704455603683508,0.6961952597131931
297,312.95758,164.237,2472.057,353.5936,4384244000.0,307.74008,229.366,1359.206,208.72227,1301032800.0,6371.529,0.205251426046524,0.1550931862454794,0.1510033156300676
300,20.770561,9.288,747.305,32.057137,303953150.0,20.44467,15.275,149.997,16.342863,207811440.0,1608.283,0.6008933570314707,0.0762029264485781,0.4478333751433501
307,266.3098,226.535,4530.695,198.71497,2235405600.0,241.97679,223.703,1866.08,120.66243,786849300.0,23458.322,0.1996792321573027,0.0225273589736411,0.0493579317668826
319,20.684963,8.0375,405.327,31.115334,352201860.0,20.561556,5.839,396.084,29.405724,279013980.0,122.348,0.9151206753704626,0.8956232669461828,0.89837121486187
355,91.16076,67.19,594.818,76.61104,1016448000.0,91.31402,75.9265,435.903,57.647045,823388200.0,1536.032,0.8430137274328801,0.8489313143470824,0.8430926740478166
362,8.780706,6.8155003,98.373,6.9825454,72745880.0,8.747746,5.9535,73.227,8.93279,67492990.0,349.165,0.8354347807518371,0.506821440177943,0.688107240162472
367,2.8775146,0.9655,60.264,4.418687,51504450.0,2.9102204,0.566,16.141,3.4708922,30885078.0,106.369,0.734885196062763,0.6410470689701253,0.708887993778259
372,2.4067712,1.085,44.904,3.973405,47535972.0,2.4051988,1.444,39.36,3.4706779,39424204.0,32.55,0.8637160136864996,0.880089285600535,0.8856792497571164
373,35.296314,12.0295,627.608,56.032104,689335000.0,35.09275,22.8925,416.682,37.734585,405080830.0,797.626,0.8089045681925143,0.7933335755629545,0.7832889611382177
378,0.23007166,0.072,5.567,0.51571643,4961127.5,0.23339544,0.0,5.324,0.5970438,6314126.0,19.047,0.4196606594511451,0.4201387823572396,0.4027122282144262
384,40.546158,18.0655,504.96,57.01351,713568700.0,40.41965,15.518,331.307,43.347862,480385380.0,1078.232,0.5743775347212614,0.4552833627421415,0.6784479590844312
385,0.65787953,0.17,23.577,1.5136026,15130300.0,0.6462304,0.197,13.832,1.1483743,12989592.0,10.201,0.7695051906244255,0.6609668118126975,0.6435612351350646
386,28.655735,11.1215,1318.415,56.309875,505731680.0,11.671809,4.389,569.168,36.973473,319311230.0,900.883,0.7905427385089698,0.7916969187436835,0.1166546717394594
390,3.3998604,1.377,120.368,6.7793584,67187100.0,3.3987792,0.991,56.067,5.802942,52553516.0,103.712,0.7267856839641322,0.7035982301497928,0.5997946053515347
393,39.03625,23.057499,574.384,52.605415,619592600.0,39.065445,29.733,302.651,34.16242,432590880.0,1094.26,0.7645909041572222,0.6750544592964993,0.7266305422302153
