param_id,num_layers,hidden1,hidden2,dropout,epochs_trained,val_error
17,2.0,35.0,20.0,0.3,34.4,0.06823966788748895
7,1.0,30.0,15.0,0.3,53.6,0.06882267681260902
4,2.0,25.0,15.0,0.3,27.2,0.06892291040470197
9,2.0,30.0,10.0,0.3,38.8,0.06893186966578164
16,2.0,35.0,15.0,0.3,35.4,0.06911537858347094
6,1.0,30.0,10.0,0.3,45.2,0.06932629315803443
5,2.0,25.0,20.0,0.3,20.6,0.06947215733428794
8,1.0,30.0,20.0,0.3,58.8,0.07051496865848697
13,1.0,35.0,15.0,0.3,51.4,0.07058524874349432
15,2.0,35.0,10.0,0.3,30.2,0.07118466384708878
12,1.0,35.0,10.0,0.3,46.8,0.07127270723382625
10,2.0,30.0,15.0,0.3,13.2,0.07154780626296994
3,2.0,25.0,10.0,0.3,14.8,0.07155011246601736
11,2.0,30.0,20.0,0.3,25.6,0.07164329203466568
1,1.0,25.0,15.0,0.3,60.4,0.07171227162082985
0,1.0,25.0,10.0,0.3,31.0,0.07240078325072921
14,1.0,35.0,20.0,0.3,55.4,0.0724463354175289
2,1.0,25.0,20.0,0.3,42.8,0.07350247136006748
