,num_layers,hidden1,hidden2,dropout,random_seed,epochs_trained,val_error
0,1.0,25.0,10.0,0.3,0.0,38.0,0.4247956871986389
1,1.0,25.0,10.0,0.3,10.0,50.0,0.4168041820327441
2,1.0,25.0,10.0,0.3,100.0,36.0,0.4499725674589475
3,1.0,25.0,10.0,0.3,1000.0,33.0,0.4338619988411665
4,1.0,25.0,10.0,0.3,10000.0,26.0,0.48840202825764817
5,1.0,25.0,15.0,0.3,0.0,39.0,0.4853663519024849
6,1.0,25.0,15.0,0.3,10.0,40.0,0.44369583514829475
7,1.0,25.0,15.0,0.3,100.0,55.0,0.38976509620745975
8,1.0,25.0,15.0,0.3,1000.0,35.0,0.4116332239160935
9,1.0,25.0,15.0,0.3,10000.0,40.0,0.40490590905149776
10,1.0,25.0,20.0,0.3,0.0,42.0,0.4489482045173645
11,1.0,25.0,20.0,0.3,10.0,34.0,0.3916238894065221
12,1.0,25.0,20.0,0.3,100.0,35.0,0.3956308749814828
13,1.0,25.0,20.0,0.3,1000.0,31.0,0.509666221216321
14,1.0,25.0,20.0,0.3,10000.0,27.0,0.4764385887732108
15,1.0,30.0,10.0,0.3,0.0,27.0,0.47019233740866184
16,1.0,30.0,10.0,0.3,10.0,36.0,0.47910748546322185
17,1.0,30.0,10.0,0.3,100.0,55.0,0.37263997209568817
18,1.0,30.0,10.0,0.3,1000.0,45.0,0.3686211630702019
19,1.0,30.0,10.0,0.3,10000.0,37.0,0.3876407320300738
20,1.0,30.0,15.0,0.3,0.0,40.0,0.3622384450087945
21,1.0,30.0,15.0,0.3,10.0,26.0,0.4616437343259652
22,1.0,30.0,15.0,0.3,100.0,26.0,0.4475927259773016
23,1.0,30.0,15.0,0.3,1000.0,38.0,0.4076379984617233
24,1.0,30.0,15.0,0.3,10000.0,54.0,0.3706278515358766
25,1.0,30.0,20.0,0.3,0.0,51.0,0.3661544931431611
26,1.0,30.0,20.0,0.3,10.0,30.0,0.42934728662172955
27,1.0,30.0,20.0,0.3,100.0,25.0,0.4504605357845624
28,1.0,30.0,20.0,0.3,1000.0,44.0,0.4144285699973504
29,1.0,30.0,20.0,0.3,10000.0,26.0,0.43959706525007886
30,1.0,35.0,10.0,0.3,0.0,42.0,0.3855413080503543
31,1.0,35.0,10.0,0.3,10.0,66.0,0.43997487363715965
32,1.0,35.0,10.0,0.3,100.0,43.0,0.3823039165387551
33,1.0,35.0,10.0,0.3,1000.0,35.0,0.4813752391686042
34,1.0,35.0,10.0,0.3,10000.0,31.0,0.5384711287915707
35,1.0,35.0,15.0,0.3,0.0,39.0,0.41222451254725456
36,1.0,35.0,15.0,0.3,10.0,69.0,0.350037083029747
37,1.0,35.0,15.0,0.3,100.0,42.0,0.3929283879697323
38,1.0,35.0,15.0,0.3,1000.0,50.0,0.42124884699781734
39,1.0,35.0,15.0,0.3,10000.0,34.0,0.3889946856846412
40,1.0,35.0,20.0,0.3,0.0,32.0,0.37323917883137864
41,1.0,35.0,20.0,0.3,10.0,25.0,0.4020031100759904
42,1.0,35.0,20.0,0.3,100.0,56.0,0.39901005414625007
43,1.0,35.0,20.0,0.3,1000.0,20.0,0.4920620049039523
44,1.0,35.0,20.0,0.3,10000.0,37.0,0.41458625594774884
