,train,val,test
1026,65.24473616067236,62.982100175457475,52.76680934609956
1761,102.99081094427017,93.17925260547528,107.16315336593759
574,1.5442904462213856,1.9969621988700754,1.8404278824063671
1086,2.836358779526259,2.756921039698761,2.6146599316880375
953,0.08925374184662979,0.08409919007354362,0.08512000187601862
1101,26.3348579753761,23.708169578092058,25.15531523895462
522,2.8909210150016986,2.054462291438373,2.189564329357215
502,5.2046050693599115,5.660837326710806,5.8870794500675085
319,6.522580065301526,7.696358298861323,6.7215658601313635
511,2.1584996001085375,2.0732319080467407,1.5663850614666899
1092,18.162307219461475,17.923536152189744,21.41129983873638
958,0.14298624847821015,0.14588954676291357,0.20486252782159828
1683,6.8353686117248476,11.102049624987464,10.249949183824878
506,1.5179799208318365,1.516245326191935,1.3518141762905245
292,4.102815462757511,4.095741729828718,3.345095866955291
541,17.846623903176166,16.832839531355255,16.89047760850796
1654,7.141839052038195,8.05913317259481,7.598346750785435
597,127.23323515649153,97.50382929633015,94.47203897152542
386,9.308796732622252,8.92153728957729,6.727600196158897
60,2.80433941230223,2.134813912347462,2.330922468689834
1864,21.9974506224647,19.00166874399634,18.695432638769265
920,3.049749062856022,3.8463858744812884,7.032126951656879
57,6.623474659039588,7.288688791567015,6.35217195491847
399,2.9541895035783488,2.9046817610486513,5.0322243463214855
1776,4.470506007911914,4.699882304245381,8.056475527717737
393,12.751971043783874,11.191601773095396,13.053317664350104
451,22.624123526774518,19.455658205009243,20.132381035587585
1753,388.24514071739816,399.6366757999872,527.037656040042
1762,24.941478084429377,25.64169461187347,22.685460796754324
1714,15.409775745808787,18.866339783013196,23.73708022899614
938,1.0911217151003398,1.139423661815054,1.2808573370602916
421,14.540822274151271,19.510353545739488,15.169578332883656
488,3.3700755255338968,3.2853666469178786,3.3914058082800334
362,5.38870119969661,5.191304188023281,5.187031988342592
390,2.322531212183959,2.3908027892509653,2.008964804040371
300,8.755998687327702,8.225760192097871,6.536445487426893
517,1.6590307697994464,1.9764128220159163,1.9455377809343355
293,5.39412635017042,5.821250112171537,4.839548572623606
372,0.9176488308749793,0.7184678599770478,0.8715760487190536
1634,14.995718226616976,16.140067537704805,18.420978204656183
798,1.1762542806047152,0.8849337446350525,1.1869423379155764
63,6.5229349605278815,6.446157156043638,5.60543297448842
939,0.36794095400396065,0.33587155644280564,0.37571117808668364
1122,7.974575868307077,6.268082560951427,7.418962386830827
601,18.654775136323874,16.77448077126404,19.67382163334221
