,baseline_5yr,baseline_10yr,baseline_15yr,baseline_20yr,baseline_25yr,baseline_30yr
307,-0.0011991023250084165,-0.10694965536563283,-0.017265132994630505,0.005067775429233201,0.10093310282098567,0.0638131402680181
1067,0.14609643217906332,0.211552539538448,0.2797367612380347,0.2967782293301411,0.30292730222699327,-0.03257229462452682
938,0.1622316834895855,0.1742826130498133,0.23396499311325403,0.22781478385473586,0.24280112801433196,0.2169171150444691
601,0.014392510815472104,-0.3321874235188238,-0.17084614206009108,-0.17203489330401722,-0.14796641224472684,-0.09389564747926249
293,0.5573407664571763,0.6335184804720251,0.5386168737227512,0.6602724686951886,0.7295521126268372,0.7501747022232823
1112,0.5226653285222309,0.5387626137630144,0.5436575933581087,0.538132147745529,0.5650057243047533,0.5762591834087494
1683,0.37581310692620906,0.39291338982889945,0.4568550942714633,0.5001232409755793,0.48502449095651534,0.5571564920054006
1654,0.5095474476938044,0.49998467530940593,0.6745076027790631,0.6916811703335048,0.7463440771906569,0.7546645781401847
1777,0.7005962253162705,0.7373368515724639,0.7622788419960068,0.7808377311443182,0.790224586279839,0.7640731496017255
893,0.00021994427996074872,0.34194464333482344,0.3508191348283767,0.3704948340114458,0.3744534692388364,0.33044205341505306
451,0.3521578286672531,0.2738172908698766,0.3270801518053533,0.2892608170533748,0.2718104231699743,0.3848474774301499
60,0.739916634875211,0.6712004438571341,0.7101482648295384,0.718049709508055,0.7386423101823536,0.7412677392381329
1714,0.511964232903746,0.5741515947838172,0.5628143833436363,0.4325615997846909,0.5787849449052345,0.6423534106832524
393,0.6264841775232732,0.6156612475382912,0.6779113782811448,0.6742227555948401,0.7028116950398463,0.7535532061432579
529,0.6315927898418453,0.6366475846071258,0.6252451285066496,0.6292822032260375,0.6397624793491304,0.6435311875276599
1249,-4.029249060361457,-4.058854981889299,-4.141811198722275,-0.7315515400317394,-49.253132157172914,-29.314067083882804
399,0.5955629384240528,0.7762205554545999,0.7375999362084185,0.7865041965009826,0.7962039264608415,0.79710069053086
1042,-0.0786740797349137,0.029225792825662955,0.11226867257819473,0.19129831317714419,0.1180533017963723,0.13154659157559023
884,0.6761359691917981,0.6372931158794926,0.6848289606619293,0.6892018621265084,0.6992889893876604,0.7081072156023871
837,0.1218940483983656,0.13661077838029678,0.13255858885819816,0.13162702352803513,0.13812633007731046,0.144848547997374
373,0.6404518140307088,0.7628579143542493,0.7895572980256466,0.7856525891711003,0.7975881115259635,0.8000249049622081
362,-0.00497702203416206,0.10445842797320426,0.7182018682208087,0.559662110311514,0.7824345554525115,0.756030276065241
416,0.5739735013583458,0.6159695181598486,0.6371345931865228,0.6457692123796888,0.6500022559627284,0.6358999983970894
1587,0.4418134635721178,0.16619122929611807,0.3731447148259035,0.3425275064391424,0.33370457077798454,0.36318756913129224
1026,0.5181266522674631,0.45512756405717447,0.5229634466679403,0.5127066855408386,0.5768627096940615,0.5494471996643511
1741,0.21153414332230525,0.4065403665346804,0.44905066955113115,0.44393594388486424,0.4788501978277636,0.5008268898835682
1864,0.08618197525027005,-0.0017055346075851574,-0.17117806462202734,-0.34683000155566734,-0.31290361877864314,0.03633934063661581
1753,0.8720890571294132,0.8711344258184622,0.8874668189085584,0.8789882833432827,0.8936962941861026,0.8846541400488616
297,-0.04759727129831437,-0.4240017051736171,-0.37948993392901476,-0.2330146621928033,-0.18371753342767683,-0.07284289319844484
1703,-0.13052511137467016,-0.09448402431748848,-0.004288495439277895,-0.2708352795778417,-0.18853734728563976,-0.5066322825143599
488,0.055822196997222795,-0.5585808650288133,-0.37454619189347005,0.42139603548494386,-0.27708744190332557,0.4196996144057257
541,0.09636300937318876,0.10832708502922317,0.15100544812041705,0.12854402983912483,0.15728731286577646,0.14787768377381205
63,0.651830469754497,0.6994006726491828,0.732557360398053,0.7419881216245385,0.7357735628593228,0.7721734714943977
574,0.6362009133612052,0.6370942888128268,0.675998561576431,0.7141461496678698,0.7090976832303142,0.7324869288208199
292,0.3635976572847265,0.6062876456410675,0.5489476268217486,0.5925810320990308,0.6876656920722566,0.6384655432639725
