,individual,pooled,finetuned_pooled_5yr,finetuned_pooled_10yr,finetuned_pooled_15yr,finetuned_pooled_20yr,finetuned_pooled_25yr,finetuned_pooled_30yr
307,0.0491549524231197,0.3035512076732454,0.01243442534231487,0.04250482411625944,-0.010736996207084237,0.01213811547351551,0.07348907958867601,0.06355767368895182
1067,0.4061082705646988,0.40222114746490956,-0.5536305824494061,0.3760838226874843,0.36204394549636065,0.48567274914127734,0.4247435523690871,0.40234645240053557
938,0.2490137538828675,0.271973795911154,0.2942079902562934,0.006900421778127774,-0.23211064782579882,0.14673670983715448,0.265035274353401,0.3526108170900899
601,-0.0588999104379663,-0.27143287545579287,-0.9416649520003497,-0.4069192159641908,-0.27024593091207216,-0.17743266510407318,0.06843869958579507,-0.04597976900727363
293,0.6961952688689368,0.49823517861927513,0.5712508312160705,0.5897151763539221,0.5821137011366168,0.6983252950807328,0.7341414632504962,0.7756222965554397
1112,0.5828758692770506,-0.01220250153223823,0.508741010494937,0.5981716284428016,0.5323174222069617,0.5692534434135925,0.5192230772782354,0.5415439747698854
1683,0.5772767459435114,0.39542614266378895,0.3167013016807946,0.3868246850154331,0.42511385412343805,0.5369137672439549,0.5258662674797691,0.5129452982095313
1654,0.7543015229180003,0.3538493072586274,0.5447049241271802,0.4809004013693787,0.6831469983251286,0.7048305597772564,0.7163356770135179,0.7164372430901038
1777,0.7717623902575398,0.5319153908343921,0.7041661774145466,0.7366335973875804,0.7739046031406422,0.7533390241742857,0.764046733471079,0.7585369778637134
893,0.2705669251585872,0.06550980398430029,0.07129060299895196,0.26586799875078115,0.3499475530271595,0.35239515700440294,0.3648478651672814,0.39468988347332146
451,0.2877647165012669,0.45362446757280805,0.3671566339628006,0.3642127871692967,0.3442950094898505,0.32058802969540967,0.3333740079165811,0.4028024239641631
60,0.7601771890153539,0.4616514903628042,0.7141174501192782,0.6153144694860067,0.7201097317080876,0.7281557173388158,0.7477911365449805,0.7467837092568501
1714,0.5768051575158932,0.627945801123571,0.4521887058363425,0.6172671101716474,0.6091220388504078,0.6476561367198304,0.6312845764409691,0.6515225420048922
393,0.7286227702727466,0.6838287032877959,0.6766450094753044,0.6753753891235061,0.6965888622755201,0.7039019978768866,0.7288693045594701,0.7760280826118491
529,0.6030927142929936,0.39190582650796335,0.6129182024028383,0.6202206604696255,0.6204795239096852,0.6106930716927711,0.6239062025394073,0.6319833471563068
1249,-41.94089036751697,-110.54764081953493,-4.232059915706753,-3.8838005778781435,-3.725127674773077,-0.3350174989824737,-76.52736185734732,-75.27616772627384
399,0.7688306273145571,0.6162388538834493,0.7555724558941146,0.8090576085198791,0.8087045609171704,0.8035016202370203,0.7818276970464302,0.7977047759700983
1042,0.0890326686087946,0.18439622240150244,-0.02384116031164396,0.08097435854718249,0.08267152493241225,0.20759831358983905,0.13074165774394464,0.20271881990068075
884,0.7035643005535526,0.6252779958371618,0.6980158972909298,0.687118840381977,0.707963332659392,0.7653698388747189,0.6966376357102497,0.7013853779055594
837,0.1413619616961827,0.02173180724464785,0.1699960635006159,0.14191827668438717,0.13688904330910046,0.1340146907880736,0.15551760209617727,0.15321272541020037
373,0.7832899409308186,0.7363237074358501,0.6990439023375121,0.7284921136473428,0.7534937823317179,0.7918268448355665,0.7901020237528326,0.793475335783549
362,0.6868045450056315,0.4506990268408213,0.4474804722995619,0.7361938866881833,0.7277856646206534,0.7985371048768377,0.7425443607822085,0.7733331090997788
416,0.6650039781141637,0.5743512177595103,0.5870061384417606,0.6143306742002563,0.6600998070019264,0.6690413323944178,0.6635077214751919,0.6654204797697675
1587,0.3696029842594328,0.4467135385882789,0.41942975431167695,0.4747752054354899,0.49297729072926266,0.5542409831706621,0.40564570247327836,0.49276541526199014
1026,0.565324627209113,0.2523300554289366,0.4739507974445698,0.6084093519933254,0.6260394752377326,0.6312753069099252,0.6813878853170339,0.6765962486584761
1741,0.4805856614045486,0.4629472641879824,0.42312961899347623,0.39587691683542714,0.4561024083924604,0.47831056416714857,0.48444784345092606,0.5117499750117445
1864,-0.054671386222201,-1.4660187617312186,-0.05219332288983347,-0.04713013566075497,0.08455419462533997,-0.026174506063457947,0.10526012913664773,0.13311348702827164
1753,0.8856361623083983,0.7747343858815339,0.865476788180735,0.8725722641205389,0.882628935655179,0.8788968969040638,0.8823335184297236,0.8839424213128478
297,0.1510033340226257,-0.5880279791385372,-0.7059386096590332,-0.46686104325536304,-0.5204688306757692,-0.4984938925813629,-0.20042035005460979,-0.15036016288188758
1703,0.0306282393488686,-0.1220188388107093,-0.510828103860798,0.03415561566471692,0.0801503962823561,-0.01940101900654878,-0.09746104275312861,0.012241354379968539
488,0.3094584196178781,0.2616590479039417,0.13897186900951985,-0.495776550937717,-0.19652253033805112,0.35540583204687193,0.35833152112696587,-0.2924299562068293
541,0.2268948341600195,0.35000969841903895,0.15840736370806374,-0.030303178019513544,0.024648595054984956,0.12975155300711183,0.0696638312473038,0.15951004281855485
63,0.7743065822145107,0.25829020242550194,0.45839274409482544,0.6538627926739604,0.7591065630584662,0.7659621045432525,0.7430505348223975,0.731760879054294
574,0.6879569534992828,0.7279412324117123,0.6795073016658123,0.6221630921563195,0.665464661149624,0.7063168099083929,0.7411224168955173,0.7483185191171766
292,0.6464620491782436,0.5042046897842849,0.4308922583110225,0.602603114925037,0.5690883503967382,0.6455092107407236,0.6939030804964084,0.6454494644646485
