,num_layers,hidden1,hidden2,dropout,random_seed,epochs_trained,val_error
0,1.0,5.0,5.0,0.3,0.0,167.0,0.11414029697577159
1,1.0,5.0,5.0,0.3,10.0,168.0,0.10996194183826447
2,1.0,5.0,5.0,0.3,100.0,210.0,0.11043532192707062
3,1.0,5.0,5.0,0.3,1000.0,300.0,0.25354306151469547
4,1.0,5.0,5.0,0.3,10000.0,139.0,0.1309885730346044
5,1.0,5.0,5.0,0.5,0.0,134.0,0.18639634797970453
6,1.0,5.0,5.0,0.5,10.0,149.0,0.15345398088296255
7,1.0,5.0,5.0,0.5,100.0,110.0,0.13687911132971445
8,1.0,5.0,5.0,0.5,1000.0,238.0,0.31111058592796326
9,1.0,5.0,5.0,0.5,10000.0,128.0,0.18783815205097198
10,1.0,5.0,5.0,0.7,0.0,115.0,0.3093504458665848
11,1.0,5.0,5.0,0.7,10.0,126.0,0.2651468515396118
12,1.0,5.0,5.0,0.7,100.0,78.0,0.22985788186391196
13,1.0,5.0,5.0,0.7,1000.0,134.0,0.3926340987284978
14,1.0,5.0,5.0,0.7,10000.0,128.0,0.31773271163304645
15,1.0,5.0,10.0,0.3,0.0,122.0,0.1092736894885699
16,1.0,5.0,10.0,0.3,10.0,127.0,0.10321308920780818
17,1.0,5.0,10.0,0.3,100.0,208.0,0.08029585828383763
18,1.0,5.0,10.0,0.3,1000.0,112.0,0.10561150809129079
19,1.0,5.0,10.0,0.3,10000.0,141.0,0.11261885364850362
20,1.0,5.0,10.0,0.5,0.0,134.0,0.11714035272598267
21,1.0,5.0,10.0,0.5,10.0,118.0,0.11658565948406856
22,1.0,5.0,10.0,0.5,100.0,122.0,0.15394897510608038
23,1.0,5.0,10.0,0.5,1000.0,129.0,0.11213083565235138
24,1.0,5.0,10.0,0.5,10000.0,97.0,0.12246943265199661
25,1.0,5.0,10.0,0.7,0.0,164.0,0.17935613046089807
26,1.0,5.0,10.0,0.7,10.0,87.0,0.187103604276975
27,1.0,5.0,10.0,0.7,100.0,202.0,0.2473113238811493
