,train,val,test
384,69.74950986896327,64.64820824268335,61.63056473789309
1755,56.448392090191255,56.62070917258097,57.172865006403875
1026,59.94330735316342,65.34536464797176,64.17322509430525
506,61.68725011485665,59.14267684929169,48.996310639778265
1654,73.97570774394654,73.97430929217279,74.12654254867269
319,57.70630914014569,52.34898471595923,61.8749994375808
502,51.66855498788303,50.53744173046878,42.74599618165807
522,51.77318687218727,55.610234228828475,52.52483411006133
505,70.5743773867673,48.43751946880854,54.28554363320402
415,49.734756265380405,61.95535097238992,48.119112967697674
1848,49.01295676777621,44.91643178367187,38.66895027899412
872,79.7615513340941,66.59481553278749,85.67138900620881
1655,82.20435386289535,82.42907957610882,79.21513205527758
1112,57.23597146839727,65.3616687638366,61.317832430084984
597,43.64123461947956,19.986003182316406,8.096455029895123
7313,43.258966704878006,27.923822386294926,43.882123629741486
1125,64.41479431517553,63.45964041513298,64.66430261721884
1744,54.924778961675585,-12.41890363962655,-27.085773272208556
398,74.24682770274363,75.02407360987148,78.70742518837102
1762,57.87293342226849,55.742601660095914,60.68815373960714
60,60.59216250120113,61.43631184609994,56.60466232154504
958,63.6720032899819,66.2391712451426,63.637284351037515
390,67.79902326295515,62.998306850969456,59.03194209047055
882,54.16621892994184,51.539464178036354,74.14301499404351
473,74.92396015046981,75.91581978137557,74.92462409123371
362,56.570306362050225,50.65811316840971,47.03383080556332
63,70.23329540250056,70.15046961924129,68.0594272259663
575,59.63309279400883,52.45447235301737,58.8265846920566
1592,52.545293855333135,54.83775801141301,6.487384457659842
1237,80.1364445052714,81.23395285006296,84.73349008190739
1796,83.46653013825328,57.129390349169284,82.97454918953191
1869,58.4653057389774,51.31793531194069,49.068591598364094
293,68.380941142712,69.02696832725483,64.1541919769141
393,52.431402321481904,57.31095771376198,65.42953836534191
1092,-0.8808805159829943,14.527767486531916,20.90998592398666
1777,65.72918182386664,60.61434108638366,67.66382723506538
1587,49.608737900360694,79.43749590974113,68.41634801428559
798,63.49599794948408,66.2244701663098,74.48806137328695
378,87.05097938488521,88.81132975791044,90.9681317721537
456,59.382429911240784,53.855535455775055,15.613093875822592
1703,70.36794352660125,74.52647618021325,67.44794062345996
837,60.02194954007576,71.67323296615449,75.24068000280397
1645,68.6733517006175,73.26687707026001,71.20795784641172
895,23.085295680167814,48.8165534381459,34.56891329535209
517,49.68797899380831,49.94108919582454,43.024317269270085
753,36.78341883815679,61.53666428429376,49.143414381253244
938,78.32051505413018,76.82714652542745,69.74805707480802
300,55.67110255507021,55.29423561987781,55.19203413006748
529,59.76562080764465,54.33891561017525,63.95770207807578
1101,66.73718403160983,62.64342640833306,63.42927116102629
297,52.94984112470689,54.903993400650556,53.95201267890699
1756,56.09358984673803,57.780550176151614,59.38595308121571
601,64.4498098418449,59.072680323127884,43.77089267854854
386,55.4674978560681,44.52798930626266,-14.575486727078797
536,55.1497335052885,54.100750369481126,55.51958087701277
399,14.884372522323272,68.23255514426981,88.27657154977258
920,15.54801964213428,21.96804703297545,18.93635547568742
1249,73.23447829763083,25.023838810515993,-131.0889536324905
131,53.492057759033834,60.038476848758386,50.57778762792586
1753,47.65264862923388,56.18144737945437,48.918859732595486
1017,67.04403358055184,68.62598883612542,68.40955974164751
385,66.72211972146562,65.62915792295011,66.33090557757956
784,51.84004627828599,52.95636933806894,63.72118746935148
939,72.17081106846514,73.53641459499376,42.711194750983196
780,65.33978028640534,76.94432807510363,83.12672786940625
541,46.24239682291484,48.46412999459622,57.515375186716376
492,48.971610177595,52.966638976933744,54.603971354976025
870,40.570092229290246,61.036434450489985,46.80836913960727
55,68.41071432753385,69.16824545351429,66.18955295733922
372,59.10273389254859,61.55788042462481,52.51390351932679
367,69.9990707736396,69.84370251233445,66.77928026520974
