,train,val,test
1026,-15.640686356630153,-22.1028543358943,-16.961941281732546
1761,-13.100941794909883,-22.188732677873322,-13.828214300244532
574,-19.883063220391605,-13.18861788833428,-33.65783055955662
1086,-389.09440198289917,-24744.636010179103,-61514.860707612446
953,-483.22182816401534,-358.4202384237642,-320.2567966213914
1101,-28.065876472606295,-36.95202217121901,-33.13923017294475
522,-9.89932713531151,-5.262981727642751,-4.371943700896679
502,-16.53540154164681,-14.833689447377143,-10.317877965723692
319,-8.630928727604116,-5.792006846418606,-1.0519054168478161
511,-4.288729875005392,-5.772879932674587,-5.9648007527330895
1092,-57.409902097646416,-57.558212786016625,-41.50533042609069
958,-26.138677891057345,-94.03055638302021,-201.05280697351412
1683,-61.16147090414703,-57.15926735541753,-37.45754859890663
506,-31.834676090290305,-23.796565775692226,-50.73787932053979
292,-29.669904110016958,-26.470252948512957,-23.905384042389304
541,-12.81084172733613,-13.343420635610753,-24.393744410933202
1654,-43.3078530909231,-21.284069912429764,-36.236381808370126
597,-8.37019905824014,-22.013971787919715,-17.455202977505447
386,-65.0960359310007,-83.35117228268346,-63.90520442892573
60,-8.879211115963432,-3.7078041588510806,-6.092656329554178
1864,-20.10821633532295,-52.20172288664986,-43.84283291634347
920,-0.29154166282839084,2.0683012077108542,4.529203393604947
57,-61.63293751984431,-52.89746644049127,-58.74674843661026
399,-7.3847570485253,-7.461665948622368,-28.978629781700253
1776,-10.350160742424192,-16.33118918612643,-11.439816520646385
393,-8.210723646398783,-29.037609162098324,-7.028054150034285
451,-13.608818239022698,-32.9274753970573,-19.805472313192322
1753,-6.088064719900883,3.1110331433554124,2.0538701652146414
1762,-19.487598656942616,-21.13367431274836,-3.880879190883347
1714,-21.623777653206748,-39.585067383849,-18.58550673353043
938,-84.45053305724633,-51.39586888234134,-17.755815681692926
421,-14.194038749073695,-23.682368189122563,-21.925507456812703
488,-15.70552897257319,-17.522887719380417,-22.170362579873427
362,-17.813647092752756,-26.772912165258347,-14.345478689896899
390,-53.851120698157104,-66.66030730807911,-63.657837941353925
300,-15.569914670908135,-20.625719572059886,-9.452053487315904
517,-14.322023765694611,-10.53493972133977,-21.597960845101664
293,-24.90264993668636,-23.39734764710796,-24.276484036789004
372,-12.11444168332298,-14.06617841838626,-22.62510270369453
1634,-39.77052076522475,-41.951066845416136,-26.335626846583867
798,-69.18225322078898,-85.54139623799061,-47.22730310937956
63,-39.79041775199449,-25.8950125596853,-36.05734805516057
939,-98.6244606149374,-154.56784153576126,-162.60900699557982
1122,-31.88433183176736,-47.86119128060239,-26.455855586286546
601,-18.752208341791313,-57.66851850412428,-82.82977618277461
1756,-13.888142755781347,-12.612008756692672,0.8319566644355193
373,-11.593395784361444,-8.609048059222069,2.2765042637170465
1754,-41.65731896307517,-40.82481480785551,-41.56511297465245
870,-6.863353177500275,-24.851392868144615,-4.603418418358559
895,-0.5639089860688346,-7.5333624616626595,-1.0222389409124946
1869,-18.456247164577245,-49.30824393803598,-26.102475882928236
385,-38.74984273636615,-70.14162136648893,-73.61600451590685
297,-15.771162655587354,-13.372334247248734,-17.10714863888468
572,-34.91082958612195,-14.361850543383568,-20.769340392029942
367,-84.17044986562148,-103.82802877810306,-130.1420301738895
384,-24.813820752037532,-30.60816812686702,-22.74846733353465
509,-25.38629227188686,-32.35977849086915,-21.35663207580583
