,train,val,test
1026,22.13852788253064,34.10096632235861,33.162273796909396
1761,20.97648681122902,22.72420329659387,31.389641512550455
574,35.723288511292296,22.878201854849742,21.500302547302457
1086,82.21498613295621,84.8496560187931,84.39211866776424
953,87.80140676120661,72.7929412599758,77.20916771635468
1101,69.67430329387773,64.41059885449079,66.18919729553478
522,24.516731397653587,18.519829812584547,20.013737097827295
502,29.60959973879806,40.03758884702153,32.28156528250269
319,10.244836195068057,6.038310569070299,2.9526178201016933
511,11.666639497271339,14.532446441414638,14.029484774054756
1092,38.880365780174934,42.295183344276914,44.81526178049351
958,69.6425675170133,70.74246767815639,67.92111052930883
1683,25.878200119490643,36.561525597175326,33.867665565971116
506,55.75746303767048,39.67477495904007,22.89312669620003
292,44.835331865826674,35.466599909488906,42.36102639215861
541,47.961415764997405,42.803970371325754,49.4613476711327
1654,21.927479744839122,14.015253589847543,14.173138811032082
597,54.98697138806121,29.70180879989996,16.167029363024074
386,27.582160130639885,8.76604108103896,13.383082490537005
60,17.489850961890706,10.667535320453826,14.635271479156817
1864,69.49418697150503,57.483669101428404,55.83991063089772
920,5.317618154751434,8.2535190438771,18.230501914086577
57,54.40317460215348,55.199395885936845,53.16815018861741
399,24.48991264465186,17.865784937833723,19.249647436983775
1776,16.332861804521436,20.386566740407584,22.384527331259175
393,21.603625693745506,29.757279825761252,35.320497915766005
451,42.13936705310258,40.87965029774551,47.56134656530444
1753,13.535559881997719,11.273416733231805,5.470107622572841
1762,38.22937925691807,30.48384789255581,38.02890625000454
1714,25.74309365430374,30.399778967840735,32.28719948327153
938,41.84295052361091,42.04773119723491,37.02351344223877
421,34.32763423421311,35.93740043840091,46.843629088337316
488,43.57708549787562,46.84420634679079,43.9980258822018
362,42.75968666367938,46.93566240321948,50.05913387499584
390,30.40274475550294,28.193987120983053,39.600654540168165
300,47.378266386204075,53.849201766846626,44.39192547581088
517,30.48837524052539,37.15249027563744,35.60334374306548
293,43.248825827823865,43.11278918651636,38.060568006792266
372,13.58674170579543,14.368537699305588,9.434231441222686
1634,33.7813811689694,35.96990232525775,30.610286737969496
798,14.611602371827626,13.052965158214226,40.1502617932406
63,29.444649944500444,28.463167283566694,20.647117091451218
939,80.71168663068953,83.09834434000585,70.86442600110789
1122,24.649471971440885,21.131489736845033,28.303933734855125
601,39.496230738666085,34.18550991314776,32.677144076212684
1756,28.27261745423132,33.80648211571552,29.72664024777348
373,21.1906532384014,27.051257806448866,27.493153553684408
1754,41.68933905473086,42.92283325537907,48.53054536361761
870,24.394550345206042,49.151815724848404,22.422017788534127
895,5.775064333381163,34.23182689584035,10.670726013119
1869,69.29963245529363,64.43847600794123,61.90819027214449
385,40.73668430270156,41.59382837055097,45.07328935120935
297,48.312709148076976,50.296727403044414,48.65749997440699
572,37.10145161115511,31.494108962500118,29.273360507429764
367,39.74208786646442,38.6328473372465,31.99379693361219
384,43.08666402017506,47.88997740109457,35.31818938582318
509,27.247301412534668,23.45938401681757,20.424047718290065
473,42.47637303599484,48.590363922955085,41.18326022440065
