,finetuned_pooled_5yr_layer_1_corr,finetuned_pooled_5yr_layer_2_corr,finetuned_pooled_10yr_layer_1_corr,finetuned_pooled_10yr_layer_2_corr,finetuned_pooled_15yr_layer_1_corr,finetuned_pooled_15yr_layer_2_corr,finetuned_pooled_20yr_layer_1_corr,finetuned_pooled_20yr_layer_2_corr,finetuned_pooled_25yr_layer_1_corr,finetuned_pooled_25yr_layer_2_corr,finetuned_pooled_30yr_layer_1_corr,finetuned_pooled_30yr_layer_2_corr
307,0.2143196802427476,0.19861308127444502,0.26709308146210226,0.17751393419349826,0.31092007388369786,0.4447027417712013,0.23330790760571793,0.3633085837098909,0.5562721258108578,0.5806107282077758,0.5839496212092318,0.5400331579331146
1067,-0.06996787238255582,-0.3732375039642462,0.5256518934969434,0.4111692725241353,0.8437422923837401,0.8433622654688725,0.7372378406106508,0.8214396513395368,0.7542496965653036,0.8128310645727191,0.8197514774551609,0.84605775223126
938,0.0464028989583971,0.1744858411920413,0.37631880588591193,0.3051771102627267,0.5177663729838305,0.34765281588357927,0.5704674237156084,0.5395222707718206,0.5985029628852878,0.6303945030203352,0.6450726683153281,0.6320864502090489
601,-0.018881892264401404,0.1146149729062328,0.113344070967804,0.233203083016225,0.2666866663242467,0.2708733040432683,0.11859427705505142,0.2912690845330592,0.21424254929047032,0.2775927785366578,0.2473837394011034,0.321294686036623
293,0.4046301129349612,0.3076786627408613,0.11968594176526286,0.4450407096848058,0.39435198196429533,0.38946599678837135,0.31808894357336004,0.28338306454525825,0.3702571488670327,0.32603111384903166,0.2393780191844513,0.42272673562750235
1112,0.2643076704964096,-0.3262674746729373,0.5373357896835046,-0.023487248373619807,0.7023681319733264,0.7080788295029599,0.8330644351331229,0.8575733879096427,0.8556051687720743,0.8733815682437576,0.8633486772973671,0.8806531360112098
1683,0.4251731547673446,0.507696136627033,0.7327539048740306,0.703946875678646,0.6839672025155782,0.6085670072761558,0.8755082237807905,0.8755309804691368,0.8965480683601411,0.8631856310909769,0.8929681430133446,0.8891102281215998
1654,0.37406559741521256,0.6028688076090841,0.6612673018990604,0.681047719440805,0.8198529479222026,0.8198914825917077,0.8622982295320325,0.8815296087052541,0.7917613045889457,0.8837000150006782,0.8907409541699953,0.9228444080007017
1777,0.003980900798813531,0.003447148687405022,0.0040787871058470485,0.00012754501616113782,-0.008864282504129144,-0.00786493201374021,-0.0032623827072910984,0.0003868787017137042,-0.008608501156142616,-0.007866944867284651,-0.010907014307019845,-0.0165293034776294
893,0.09407674567652742,0.16629897286759937,0.0836110272015187,0.2404266357933402,0.20858740465256656,0.367629272664764,0.3985766547178747,0.33823119458401946,0.3122640760520327,0.5268249551632868,0.7151802095964293,0.6595847171350233
451,0.07982308066733385,0.020329527048677607,0.27356803635207066,0.15638933283776152,0.35286009291462467,0.28433440449053937,0.42080568595925494,0.490351263688995,0.40192225003037735,0.5339827444048558,0.5563454246415251,0.5754603784074787
60,0.33551365474238143,0.20547347925743176,0.7647696897566901,0.7339828662505021,0.8083854667779653,0.7480686861783572,0.8544303260314673,0.844641420686806,0.8454420725765941,0.8382990919972384,0.8495401459602869,0.85627104526685
1714,0.7725157959406788,0.2127615090179872,0.8895271403458654,0.885563510879277,0.8026235048761345,0.9041851202429039,0.8875219689132899,0.9117903413056601,0.8993407001591448,0.8906585441080322,0.8597922613989455,0.8338964189925246
393,0.25920484159549045,0.02209124163306042,-0.16920314917357357,0.07720527164838925,0.4834601810333875,0.46518773244319195,0.30375276882992136,0.373248159762269,0.31287405736426116,0.47597065813689826,0.579908159566856,0.4745463914139652
529,-0.07493752797552287,-0.10141761995520256,-0.033974479617689984,-0.0656464435724345,0.03643389262707238,0.10695890008463828,0.0887246404873364,0.1690434248051801,0.11902734758158909,0.06725207438752104,0.09626522243995135,0.09944565874065953
1249,0.09784954094880466,0.07566784007746902,0.21249967865765912,0.20205395578279528,0.2508331665911669,0.23446852261499992,0.2576903094075011,0.19045744183101787,0.10895749686200563,0.14809353938797126,0.16306312200736414,0.23159973354990687
399,-0.10020222137410975,-0.12371546442852369,0.13596854422289048,0.07863444600068771,0.285413210092111,0.3982947727921943,0.43892221674947474,0.5404917658055823,0.49958728756166165,0.5385417754726075,0.7096441527037335,0.7189949007157178
